timestamp, gpu_0_utilization.gpu [% or MiB], gpu_0_utilization.memory [% or MiB], gpu_0_memory.total [% or MiB], gpu_0_memory.free [% or MiB], gpu_0_memory.used [% or MiB], gpu_1_utilization.gpu [% or MiB], gpu_1_utilization.memory [% or MiB], gpu_1_memory.total [% or MiB], gpu_1_memory.free [% or MiB], gpu_1_memory.used [% or MiB], gpu_2_utilization.gpu [% or MiB], gpu_2_utilization.memory [% or MiB], gpu_2_memory.total [% or MiB], gpu_2_memory.free [% or MiB], gpu_2_memory.used [% or MiB], gpu_3_utilization.gpu [% or MiB], gpu_3_utilization.memory [% or MiB], gpu_3_memory.total [% or MiB], gpu_3_memory.free [% or MiB], gpu_3_memory.used [% or MiB]
2025/03/14 20:24:27.174, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:28.235, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:29.300, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:30.365, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:31.429, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:32.500, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:33.570, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:34.643, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:35.711, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:36.781, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:37.843, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:38.918, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:39.992, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:41.061, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:42.128, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:43.195, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:44.266, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:45.328, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:46.393, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:47.463, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:48.530, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:49.596, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:50.669, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
2025/03/14 20:24:51.733, 0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1,0, 0, 81920, 81158, 1
